AAED1	ENSG00000158122
ABAT	ENSG00000183044
ABHD16B	ENSG00000183260
ABHD5	ENSG00000011198
AC010761.14	ENSG00000267729
AC017099.3	ENSG00000228486
AC026806.2	ENSG00000268913
AC093673.5	ENSG00000232533
AC106801.1	ENSG00000253519
AC147651.4	ENSG00000237181
ACBD5	ENSG00000107897
ACVR1	ENSG00000115170
ADAMTS10	ENSG00000142303
ADO	ENSG00000181915
ADRA2B	ENSG00000222040
AGAP1	ENSG00000157985
AHNAK	ENSG00000124942
AHRR	ENSG00000063438
AKAP7	ENSG00000118507
AKT1S1	ENSG00000204673
ALKBH2	ENSG00000189046
ANKRD10-IT1	ENSG00000229152
ANKRD26	ENSG00000107890
ANKRD33B	ENSG00000164236
ANKS3	ENSG00000168096
ANP32A	ENSG00000140350
ANXA1	ENSG00000135046
ANXA2P2	ENSG00000231991
ANXA5	ENSG00000164111
APBA2	ENSG00000034053
APBB1	ENSG00000166313
APBB3	ENSG00000113108
ARC	ENSG00000198576
ARID3B	ENSG00000179361
ARL5B	ENSG00000165997
ATP10B	ENSG00000118322
ATP1B3	ENSG00000069849
BCAR3	ENSG00000137936
BHLHE40	ENSG00000134107
BID	ENSG00000015475
BIRC2	ENSG00000110330
BMP1	ENSG00000168487
BMPR1A	ENSG00000107779
BTBD11	ENSG00000151136
BTBD19	ENSG00000222009
C10orf55	ENSG00000222047
C11orf80	ENSG00000173715
C11orf95	ENSG00000188070
C12orf75	ENSG00000235162
C2CD4D	ENSG00000225556
C2orf49	ENSG00000135974
C5orf52	ENSG00000187658
C9orf72	ENSG00000147894
C9orf89	ENSG00000165233
CACNA2D4	ENSG00000151062
CACNB1	ENSG00000067191
CACNG8	ENSG00000142408
CAPNS1	ENSG00000126247
CASP9	ENSG00000132906
CD27	ENSG00000139193
CD82	ENSG00000085117
CD83	ENSG00000112149
CDC42EP3	ENSG00000163171
CDCA4	ENSG00000170779
CDH23	ENSG00000107736
CDK20	ENSG00000156345
CENPN	ENSG00000166451
CEP112	ENSG00000154240
CEP72	ENSG00000112877
CFH	ENSG00000000971
CHST14	ENSG00000169105
CILP2	ENSG00000160161
CKS2	ENSG00000123975
CLCN6	ENSG00000011021
CLOCK	ENSG00000134852
CLSTN3	ENSG00000139182
CNKSR2	ENSG00000149970
COL1A1	ENSG00000108821
COL5A1	ENSG00000130635
COL9A2	ENSG00000049089
CORO1C	ENSG00000110880
CORO6	ENSG00000167549
CPD	ENSG00000108582
CPLX1	ENSG00000168993
CTD-2313J17.1	ENSG00000258922
CTD-2336O2.1	ENSG00000253982
CTD-2589H19.4	ENSG00000249908
CTD-3064M3.7	ENSG00000271959
CTIF	ENSG00000134030
CTTN	ENSG00000085733
CYB5D1	ENSG00000182224
CYB5R1	ENSG00000159348
DDB2	ENSG00000134574
DEPDC7	ENSG00000121690
DHRS9	ENSG00000073737
DIAPH2	ENSG00000147202
DNAJC19	ENSG00000205981
DOLPP1	ENSG00000167130
DOT1L	ENSG00000104885
